-1.11,-9.53,1.16,33.64,466.5,17.85,2.26,96084.72,4.72,5.93,1
-1.57,-9.47,0.88,33.78,509.75,20.15,2.26,96078.06,4.72,7.81,1
-0.41,-9.6,0.8,33.46,540,18.56,2.24,96140.23,4.67,6.35,1
-3.3,-7.74,-4.48,33.83,1171,17.25,2.25,96080.11,4.72,5.58,1
-0.49,-9.37,-2.44,31.01,594.25,18.54,2.08,95636.89,5.12,4.34,1
-0.88,-9.58,0.33,33.76,358,18.39,2.25,96088.38,4.71,6.46,1
-1.03,-9.49,0.93,33.6,535.5,17.42,2.27,96086.23,4.72,5.55,1
-1.63,-9.44,0.22,35.3,951,27.5,1.98,95537.55,5.21,13.76,1
-0.79,-9.41,1.11,33.14,516.25,18.74,2.26,96125.76,4.68,6.22,1
-1.69,-7.5,-5.98,32.89,885.25,17.34,2.05,95635.68,5.12,4.91,1
-0.45,-9.83,1.1,33.92,614,16.67,2.24,96037.67,4.76,5.17,1
-1.55,-3.49,8.58,34.87,63.75,18.69,0.8,95611.31,5.14,7.6,1
0.69,-0.45,-9.08,34.25,2357.5,13.91,2.06,95599.11,5.15,2.85,1
-4.32,-7.17,-4.66,33.74,1047.25,17.47,2.25,96076.84,4.72,5.7,1
-1.02,-9.22,-2.12,33.45,871.75,19.96,2.26,96143.2,4.66,7.4,1
0.17,-9.6,0.02,33.83,628.75,18.13,2.26,96075.47,4.72,6.31,1
-0.93,-9.53,-0.41,33.37,641,20.11,2.27,96113.37,4.69,7.44,1
-0.87,-9.63,0.64,33.28,608.25,18.84,2.26,96115.55,4.69,6.42,1
-0.77,-9.53,1.1,34.24,29.75,26.74,2.07,95578.29,5.17,12.43,1
-0.74,-9.67,-0.46,33.33,670.25,21.25,2.26,96113.8,4.69,8.22,1
-0.54,-9.31,2.1,33.11,433,18.57,2.24,96093.39,4.71,6.07,1
-0.85,-9.54,-0.17,34.26,713.25,17.54,2.25,96041.7,4.76,6.18,1
0.19,3.15,-8.77,36.25,1983.75,11.07,2.07,95612.55,5.14,1.2,1
-1.38,-9.5,1.33,34.03,571,16.05,2.24,96042.42,4.75,4.72,1
-0.69,-9.51,0.26,33,678.25,19.2,2.27,96118.69,4.69,6.47,1
-3.23,-8.15,-3.66,33.88,1126.75,18.26,2.26,96080.26,4.72,6.45,1
2.39,5.86,-7.45,35.21,2115,12.05,2.07,95602.09,5.15,1.59,1
-9.13,1.53,-2.04,35.76,532.75,13.53,2.05,95626.08,5.13,3.65,1
-0.76,-9.53,1.04,33.15,502.5,18.33,2.25,96100.08,4.7,5.92,1
-0.73,-7.15,-4.02,34.32,976.25,16.99,2.24,96062.7,4.74,5.76,1
-3.17,-8.43,-2.94,34.31,1072.5,17.09,2.26,96063.74,4.74,5.84,1
-0.83,-9.69,-0.06,33.49,618.5,19.22,2.25,96137.06,4.67,6.88,1
-8.73,1.18,3.35,34.9,359,12.11,2.02,95597.13,5.16,1.41,1
-1.72,-9.3,-1.36,34.13,899,18.49,2.25,96071.99,4.73,6.84,1
-0.98,-9.66,0.11,34.28,662,17.36,2.25,96071.58,4.73,6.04,1
-0.61,-9.67,-0.24,34.02,720,18.67,2.25,96039.9,4.76,6.89,1
-1.17,-9.59,0.9,33.77,511.25,17.95,2.26,96075.53,4.72,6.11,1
-0.65,-9.58,0.95,33.32,568,18.48,2.25,96112.14,4.69,6.18,1
-0.86,-9.6,1,33.62,501,17.76,2.25,96091.5,4.71,5.84,1
-0.64,-9.44,2.72,33.82,480,18.3,2.25,96082.02,4.72,6.43,1
-0.97,-9.53,0.6,33.63,521,17.6,2.24,96082.22,4.72,5.72,1
-0.56,-9.4,2.42,33.47,426,19.2,2.21,96091.83,4.71,6.85,1
-0.93,-9.6,1,33.09,540,17.6,2.25,96088.16,4.71,5.28,1
-0.54,-9.51,0.87,33.47,543.25,18.58,2.26,96141.07,4.67,6.37,1
-1.49,-9.52,-0.8,31.21,23,14.35,2.07,95893.8,4.89,0.89,1
0.21,-8.96,-3.41,33.74,921.75,17.74,2.25,96079.58,4.72,5.92,1
-0.3,-10.75,-3.37,31.45,8,13.93,2.09,95885.98,4.9,0.67,1
2.38,3.58,-8.48,36.25,2394,11.2,2.07,95597.98,5.15,1.36,1
-1.19,-9.75,0.88,33.52,477.25,20.04,2.25,96083.81,4.72,7.52,1
0.79,3.41,-8.78,36.26,2060.5,10.93,2.07,95605.96,5.15,1.03,1
-0.64,-10.21,-1.7,33.84,796,17.16,2.24,96071.66,4.73,5.52,1
-0.68,-9.46,-0.8,33.41,644.75,21.06,2.26,96141.95,4.67,8.16,1
-0.29,4.15,-8.59,36.27,1268,11.18,2.08,95601.3,5.15,1.35,1
1.77,-10.75,-1.41,30.98,329.75,17.23,2.09,95634.63,5.12,3.27,1
-1.42,5.05,-7.95,35.4,1474.5,11.96,2.08,95590.91,5.16,1.63,1
1.93,-8.92,-3.76,34.19,1031,17.42,2.25,96054.63,4.74,6.03,1
-1.02,-9.51,0.85,33.93,565,16.92,2.23,96041.25,4.76,5.39,1
-0.57,-9.53,-3.02,30.97,535.25,17.1,2.09,95641.97,5.12,3.15,1
-0.05,-9.33,-2.48,31.02,549,18.6,2.08,95633.13,5.12,4.39,1
-2.26,-9.39,0.24,31.82,829.5,25.58,2.27,96209.84,4.6,9.71,1
-1,-8.96,3.29,31.51,588.5,18.15,2.07,95642.41,5.11,4.44,1
